movieId,title,year,duration,certification,rating,reviews
0044741,Ikiru,1952,2h 23m,U,8.3,86K
0056172,Lawrence of Arabia,1962,3h 38m,U,8.3,310K
0053604,The Apartment,1960,2h 5m,U,8.3,193K
0033467,Citizen Kane,1941,1h 59m,UA,8.3,461K
0022100,M - Eine Stadt sucht einen Mörder,1931,1h 57m,Passed,8.3,166K
0053125,North by Northwest,1959,2h 16m,U,8.3,342K
0052357,Vertigo,1958,2h 8m,A,8.3,422K
0036775,Double Indemnity,1944,1h 47m,Passed,8.3,165K
0086250,Scarface,1983,2h 50m,A,8.3,900K
0211915,Le fabuleux destin d'Amélie Poulain,2001,2h 2m,U,8.3,786K
0093058,Full Metal Jacket,1987,1h 56m,UA,8.3,780K
1255953,Incendies,2010,2h 11m,18,8.3,193K
0066921,A Clockwork Orange,1971,2h 16m,A,8.3,870K
0113277,Heat,1995,2h 50m,A,8.3,706K
1049413,Up,2009,1h 36m,U,8.3,1.1M
0056592,To Kill a Mockingbird,1962,2h 9m,U,8.3,329K
0070735,The Sting,1973,2h 9m,U,8.3,276K
1832382,Jodaeiye Nader Az Simin,2011,2h 3m,7,8.3,256K
0097576,Indiana Jones and the Last Crusade,1989,2h 7m,U,8.2,802K
8503618,Hamilton,2020,2h 40m,12+,8.3,110K
0095016,Die Hard,1988,2h 12m,A,8.2,934K
0017136,Metropolis,1927,2h 33m,Not Rated,8.3,183K
0986264,Taare Zameen Par,2007,2h 42m,U,8.3,204K
0208092,Snatch,2000,1h 44m,UA,8.2,897K
0040522,Ladri Di Biciclette,1948,1h 29m,U,8.3,173K
0119488,L.A. Confidential,1997,2h 18m,A,8.2,610K
8579674,1917,2019,1h 59m,R,8.2,658K
0075314,Taxi Driver,1976,1h 54m,A,8.2,903K
0363163,Der Untergang,2004,2h 36m,UA,8.2,371K
5074352,Dangal,2016,2h 41m,U,8.3,206K
0059578,Per qualche dollaro in più,1965,2h 12m,U,8.2,271K
0372784,Batman Begins,2005,2h 20m,UA,8.2,1.6M
0053291,Some Like It Hot,1959,2h 1m,U,8.2,280K
0993846,The Wolf of Wall Street,2013,3h,A,8.2,1.5M
0012349,The Kid,1921,1h 8m,Passed,8.2,133K
1745960,Top Gun: Maverick,2022,2h 10m,UA,8.3,660K
10272386,The Father,2020,1h 37m,UA,8.2,185K
6966692,Green Book,2018,2h 10m,UA,8.2,550K
0042192,All About Eve,1950,2h 18m,Passed,8.2,137K
0055031,Judgment at Nuremberg,1961,2h 59m,A,8.3,83K
0120382,The Truman Show,1998,1h 43m,U,8.2,1.2M
0469494,There Will Be Blood,2007,2h 38m,A,8.2,631K
1130884,Shutter Island,2010,2h 18m,A,8.2,1.4M
0112641,Casino,1995,2h 58m,A,8.2,555K
0089881,Ran,1985,2h 40m,Not Rated,8.2,134K
0107290,Jurassic Park,1993,2h 7m,UA,8.2,1.1M
0457430,El Laberinto Del Fauno,2006,1h 58m,R,8.2,696K
0167404,The Sixth Sense,1999,1h 47m,A,8.2,1M
0105695,Unforgiven,1992,2h 10m,A,8.2,431K
0268978,A Beautiful Mind,2001,2h 15m,UA,8.2,975K
0477348,No Country for Old Men,2007,2h 2m,18,8.2,1M
0040897,The Treasure of the Sierra Madre,1948,2h 6m,Passed,8.2,131K
0055630,Yôjinbô,1961,1h 50m,U,8.2,130K
0084787,The Thing,1982,1h 49m,A,8.2,458K
0266697,Kill Bill: Vol. 1,2003,1h 51m,A,8.2,1.2M
0071853,Monty Python and the Holy Grail,1975,1h 31m,U,8.2,564K
0057115,The Great Escape,1963,2h 52m,U,8.2,256K
0266543,Finding Nemo,2003,1h 40m,U,8.2,1.1M
0080678,The Elephant Man,1980,2h 4m,UA,8.2,255K
0071315,Chinatown,1974,2h 10m,UA,8.2,344K
0347149,Hauru No Ugoku Shiro,2004,1h 59m,U,8.2,436K
1392214,Prisoners,2013,2h 33m,A,8.1,789K
0046912,Dial M for Murder,1954,1h 45m,A,8.2,186K
0031381,Gone with the Wind,1939,3h 58m,U,8.2,330K
0434409,V for Vendetta,2005,2h 12m,UA,8.2,1.2M
0120735,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,A,8.1,609K
1305806,El Secreto De Sus Ojos,2009,2h 9m,R,8.2,220K
0081398,Raging Bull,1980,2h 9m,A,8.1,375K
2096673,Inside Out,2015,1h 35m,U,8.1,770K
5027774,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,A,8.1,545K
23289160,Godzilla Minus One,2023,2h 4m,PG-13,8.4,35K
10872600,Spider-Man: No Way Home,2021,2h 28m,UA,8.2,855K
0117951,Trainspotting,1996,1h 33m,A,8.1,717K
0050212,The Bridge on the River Kwai,1957,2h 41m,U,8.1,231K
